[2023-11-09 20:32:36:1657] [background-preinit] INFO  [org.hibernate.validator.internal.util.Version.<clinit>:21] - HV000001: Hibernate Validator 8.0.1.Final
[2023-11-09 20:32:37:1753] [restartedMain] INFO  [org.springframework.boot.StartupInfoLogger.logStarting:51] - Starting WekikiApplication using Java 17.0.7 with PID 13828 (D:\카카오 테크 캠퍼스\Wikiki\wekiki\out\production\classes started by arheo in D:\카카오 테크 캠퍼스\Wikiki)
[2023-11-09 20:32:37:1754] [restartedMain] INFO  [org.springframework.boot.SpringApplication.logStartupProfileInfo:643] - The following 1 profile is active: "local"
[2023-11-09 20:32:37:1862] [restartedMain] INFO  [org.springframework.boot.logging.DeferredLog.logTo:250] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
[2023-11-09 20:32:37:1865] [restartedMain] INFO  [org.springframework.boot.logging.DeferredLog.logTo:250] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
[2023-11-09 20:32:41:5761] [restartedMain] INFO  [org.springframework.data.repository.config.RepositoryConfigurationDelegate.multipleStoresDetected:291] - Multiple Spring Data modules found, entering strict repository configuration mode
[2023-11-09 20:32:41:5764] [restartedMain] INFO  [org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:138] - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
[2023-11-09 20:32:41:6099] [restartedMain] INFO  [org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:208] - Finished Spring Data repository scanning in 325 ms. Found 8 JPA repository interfaces.
[2023-11-09 20:32:41:6124] [restartedMain] INFO  [org.springframework.data.repository.config.RepositoryConfigurationDelegate.multipleStoresDetected:291] - Multiple Spring Data modules found, entering strict repository configuration mode
[2023-11-09 20:32:41:6127] [restartedMain] INFO  [org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:138] - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
[2023-11-09 20:32:41:6151] [restartedMain] INFO  [org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport.isStrictRepositoryCandidate:320] - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.kakao.techcampus.wekiki.comment.CommentJPARepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
[2023-11-09 20:32:41:6153] [restartedMain] INFO  [org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport.isStrictRepositoryCandidate:320] - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.kakao.techcampus.wekiki.group.repository.GroupJPARepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
[2023-11-09 20:32:41:6153] [restartedMain] INFO  [org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport.isStrictRepositoryCandidate:320] - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.kakao.techcampus.wekiki.group.repository.GroupMemberJPARepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
[2023-11-09 20:32:41:6154] [restartedMain] INFO  [org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport.isStrictRepositoryCandidate:320] - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.kakao.techcampus.wekiki.history.HistoryJPARepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
[2023-11-09 20:32:41:6154] [restartedMain] INFO  [org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport.isStrictRepositoryCandidate:320] - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.kakao.techcampus.wekiki.member.MemberJPARepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
[2023-11-09 20:32:41:6154] [restartedMain] INFO  [org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport.isStrictRepositoryCandidate:320] - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.kakao.techcampus.wekiki.page.PageJPARepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
[2023-11-09 20:32:41:6155] [restartedMain] INFO  [org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport.isStrictRepositoryCandidate:320] - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.kakao.techcampus.wekiki.post.PostJPARepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
[2023-11-09 20:32:41:6155] [restartedMain] INFO  [org.springframework.data.repository.config.RepositoryConfigurationExtensionSupport.isStrictRepositoryCandidate:320] - Spring Data Redis - Could not safely identify store assignment for repository candidate interface com.kakao.techcampus.wekiki.report.ReportJPARepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
[2023-11-09 20:32:41:6155] [restartedMain] INFO  [org.springframework.data.repository.config.RepositoryConfigurationDelegate.registerRepositoriesIn:208] - Finished Spring Data repository scanning in 15 ms. Found 0 Redis repository interfaces.
[2023-11-09 20:32:42:7286] [restartedMain] INFO  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer.initialize:108] - Tomcat initialized with port(s): 8080 (http)
[2023-11-09 20:32:42:7300] [restartedMain] INFO  [org.apache.juli.logging.DirectJDKLog.log:173] - Initializing ProtocolHandler ["http-nio-8080"]
[2023-11-09 20:32:42:7304] [restartedMain] INFO  [org.apache.juli.logging.DirectJDKLog.log:173] - Starting service [Tomcat]
[2023-11-09 20:32:42:7304] [restartedMain] INFO  [org.apache.juli.logging.DirectJDKLog.log:173] - Starting Servlet engine: [Apache Tomcat/10.1.13]
[2023-11-09 20:32:42:7425] [restartedMain] INFO  [org.apache.juli.logging.DirectJDKLog.log:173] - Initializing Spring embedded WebApplicationContext
[2023-11-09 20:32:42:7457] [restartedMain] INFO  [org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext.prepareWebApplicationContext:291] - Root WebApplicationContext: initialization completed in 5590 ms
[2023-11-09 20:32:42:7603] [restartedMain] INFO  [com.zaxxer.hikari.HikariDataSource.getConnection:110] - HikariPool-1 - Starting...
[2023-11-09 20:32:43:7940] [restartedMain] INFO  [com.zaxxer.hikari.pool.HikariPool.checkFailFast:565] - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:test user=SA
[2023-11-09 20:32:43:7944] [restartedMain] INFO  [com.zaxxer.hikari.HikariDataSource.getConnection:123] - HikariPool-1 - Start completed.
[2023-11-09 20:32:43:7963] [restartedMain] INFO  [org.springframework.boot.autoconfigure.h2.H2ConsoleAutoConfiguration.logDataSources:88] - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:test'
